Origin,Destination,stop_sequence,route_id,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24,monday,tuesday,wednesday,thursday,friday,saturday,sunday,delay
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,22298,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
Schwab-/Bebelstraße,Arndt-/Spittastraße,20,21036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0
